Dataset,Solver,Timeout,HTime,Time,Size,Certificate
j28,huffner,0.1,0.05,0.1,13,"['10', '12', '38', '39', '40', '41', '42', '43', '44', '5', '52', '8', '9']"
gka_1,huffner,0.1,0.05,0.1,9,"['15', '22', '23', '3', '38', '4', '43', '7', '9']"
gka_2,huffner,0.1,0.05,0.1,16,"['19', '2', '22', '3', '30', '33', '35', '36', '38', '44', '51', '56', '9', '31', '15', '27']"
gka_3,huffner,0.1,0.05,0.1,23,"['24', '29', '38', '45', '46', '47', '52', '56', '57', '59', '60', '61', '67', '19', '35', '22', '54', '43', '1', '16', '7', '18', '51']"
gka_4,huffner,0.1,0.05,0.1,30,"['15', '17', '2', '22', '24', '40', '43', '50', '57', '62', '65', '68', '69', '76', '10', '67', '9', '53', '49', '71', '28', '37', '70', '19', '61', '72', '36', '46', '30', '5']"
gka_5,huffner,0.1,0.05,0.1,22,"['1', '11', '14', '17', '18', '25', '26', '33', '34', '40', '43', '46', '47', '48', '49', '5', '21', '23', '39', '38', '15', '9']"
gka_6,huffner,0.1,0.05,0.1,16,"['0', '15', '16', '17', '18', '19', '2', '22', '23', '24', '25', '28', '4', '5', '6', '9']"
gka_7,huffner,0.1,0.05,0.1,18,"['0', '1', '11', '12', '13', '14', '15', '2', '21', '23', '24', '27', '28', '29', '5', '6', '8', '9']"
gka_8,huffner,0.1,0.05,0.1,33,"['15', '20', '25', '41', '55', '59', '60', '63', '71', '86', '92', '95', '98', '24', '54', '94', '57', '23', '4', '56', '89', '90', '28', '37', '85', '30', '40', '80', '27', '97', '19', '22', '8']"
gka_9,huffner,0.1,0.05,0.1,2,"['4', '5']"
gka_10,huffner,0.1,0.05,0.1,8,"['0', '10', '11', '3', '4', '6', '8', '9']"
gka_11,huffner,0.1,0.05,0.1,10,"['0', '1', '10', '12', '2', '4', '5', '6', '7', '8']"
gka_12,huffner,0.1,0.05,0.1,20,"['0', '1', '10', '11', '12', '13', '14', '16', '17', '18', '19', '20', '21', '22', '23', '3', '4', '5', '6', '7']"
gka_13,huffner,0.1,0.05,0.1,16,"['0', '1', '10', '11', '12', '14', '16', '17', '18', '2', '3', '4', '5', '6', '8', '9']"
gka_14,huffner,0.1,0.05,0.1,22,"['0', '1', '10', '11', '12', '13', '15', '16', '17', '18', '2', '21', '22', '23', '24', '25', '4', '5', '6', '7', '8', '9']"
gka_15,huffner,0.1,0.05,0.1,0,[]
gka_16,huffner,0.1,0.05,0.1,0,[]
gka_17,huffner,0.1,0.05,0.1,0,[]
gka_18,huffner,0.1,0.05,0.1,2,"['0', '6']"
gka_19,huffner,0.1,0.05,0.1,31,"['0', '1', '12', '13', '14', '15', '17', '18', '2', '21', '22', '24', '25', '26', '27', '28', '29', '3', '30', '32', '33', '34', '35', '36', '38', '4', '5', '6', '7', '8', '9']"
gka_20,huffner,0.1,0.05,0.1,39,"['1', '10', '11', '12', '13', '14', '15', '17', '18', '20', '22', '23', '24', '26', '27', '28', '29', '31', '32', '35', '36', '37', '38', '40', '41', '42', '44', '46', '47', '48', '49', '6', '8', '9', '2', '4', '3', '16', '34']"
gka_21,huffner,0.1,0.05,0.1,41,"['0', '1', '10', '18', '2', '20', '24', '25', '27', '29', '3', '34', '35', '39', '41', '43', '48', '49', '50', '53', '54', '6', '7', '31', '59', '17', '52', '55', '47', '28', '33', '11', '22', '4', '8', '56', '21', '42', '30', '9', '5']"
gka_22,huffner,0.1,0.05,0.1,46,"['0', '1', '11', '16', '19', '3', '31', '33', '34', '35', '41', '42', '46', '49', '5', '51', '52', '59', '61', '64', '66', '29', '37', '30', '57', '20', '68', '67', '28', '8', '21', '36', '62', '22', '15', '18', '38', '10', '50', '25', '17', '2', '54', '60', '24', '44']"
gka_23,huffner,0.1,0.05,0.1,47,"['18', '22', '23', '26', '27', '3', '31', '35', '37', '39', '4', '44', '49', '51', '58', '64', '8', '6', '10', '69', '78', '11', '55', '60', '52', '33', '53', '71', '54', '15', '67', '14', '57', '38', '30', '45', '42', '32', '74', '79', '13', '21', '59', '68', '73', '17', '50']"
gka_24,huffner,0.1,0.05,0.1,38,"['2', '24', '25', '34', '36', '38', '42', '53', '55', '59', '62', '72', '82', '83', '67', '47', '39', '40', '75', '69', '46', '22', '70', '58', '19', '35', '51', '49', '43', '80', '86', '1', '79', '64', '4', '14', '73', '76']"
gka_25,huffner,0.1,0.05,0.1,44,"['17', '19', '26', '31', '32', '4', '42', '49', '5', '53', '79', '83', '94', '96', '60', '81', '12', '65', '98', '44', '18', '82', '27', '35', '74', '50', '11', '2', '55', '0', '59', '85', '16', '6', '1', '45', '87', '9', '57', '21', '71', '54', '61', '63']"
gka_26,huffner,0.1,0.05,0.1,44,"['10', '12', '13', '14', '3', '43', '48', '63', '64', '68', '7', '70', '93', '95', '23', '28', '57', '6', '37', '45', '54', '81', '87', '97', '2', '78', '71', '76', '38', '79', '59', '55', '65', '40', '74', '99', '56', '34', '9', '41', '72', '29', '58', '92']"
gka_27,huffner,0.1,0.05,0.1,63,"['11', '15', '16', '17', '19', '23', '26', '41', '42', '48', '53', '54', '6', '63', '66', '68', '84', '9', '99', '13', '47', '36', '20', '52', '74', '28', '45', '32', '10', '37', '31', '29', '94', '51', '87', '2', '46', '49', '60', '78', '67', '85', '21', '8', '89', '58', '12', '75', '81', '91', '25', '3', '14', '97', '57', '72', '30', '92', '56', '44', '73', '76', '65']"
gka_28,huffner,0.1,0.05,0.1,72,"['0', '12', '17', '18', '21', '3', '34', '36', '41', '42', '43', '45', '51', '52', '6', '65', '73', '74', '75', '76', '85', '99', '62', '93', '60', '67', '56', '57', '55', '53', '64', '58', '70', '30', '95', '47', '48', '50', '66', '8', '9', '71', '2', '97', '63', '69', '92', '24', '39', '91', '14', '81', '82', '19', '25', '87', '22', '4', '40', '77', '72', '28', '15', '1', '68', '79', '54', '29', '96', '31', '32', '7']"
gka_29,huffner,0.1,0.05,0.1,77,"['19', '21', '22', '23', '24', '29', '3', '39', '41', '42', '44', '49', '55', '59', '6', '61', '64', '66', '72', '84', '85', '90', '92', '99', '25', '33', '71', '15', '54', '38', '40', '48', '13', '14', '45', '74', '81', '91', '97', '43', '69', '5', '75', '28', '50', '82', '83', '65', '78', '67', '17', '1', '32', '35', '58', '16', '76', '12', '51', '88', '8', '34', '26', '63', '80', '86', '10', '62', '27', '2', '7', '70', '93', '53', '79', '4', '77']"
gka_30,huffner,0.1,0.05,0.1,83,"['0', '10', '12', '16', '20', '22', '29', '31', '34', '35', '36', '37', '38', '39', '46', '49', '51', '54', '56', '58', '59', '68', '7', '76', '8', '82', '88', '93', '98', '85', '43', '21', '71', '75', '33', '96', '53', '26', '24', '18', '81', '13', '30', '50', '61', '78', '79', '97', '73', '87', '40', '57', '48', '95', '1', '70', '15', '55', '17', '6', '92', '74', '89', '64', '14', '32', '42', '28', '60', '72', '86', '80', '9', '47', '45', '91', '3', '25', '4', '27', '23', '66', '62']"
gka_31,huffner,0.1,0.05,0.1,86,"['1', '11', '12', '13', '15', '16', '19', '22', '24', '25', '3', '33', '35', '4', '40', '41', '43', '44', '45', '49', '52', '54', '55', '60', '63', '65', '66', '71', '74', '77', '78', '80', '82', '85', '87', '90', '91', '95', '21', '34', '75', '98', '28', '2', '94', '93', '38', '67', '69', '26', '89', '30', '99', '5', '6', '39', '64', '0', '88', '8', '50', '76', '48', '83', '61', '46', '86', '37', '7', '51', '92', '62', '70', '47', '36', '72', '20', '97', '9', '59', '58', '96', '68', '53', '57', '14']"
gka_32,huffner,0.1,0.05,0.1,89,"['11', '12', '14', '15', '18', '20', '22', '24', '25', '29', '32', '34', '39', '40', '43', '44', '45', '48', '54', '55', '6', '61', '62', '65', '66', '67', '69', '77', '80', '81', '83', '84', '87', '88', '90', '91', '93', '94', '95', '96', '99', '8', '9', '36', '47', '21', '68', '78', '16', '41', '31', '10', '30', '97', '0', '28', '17', '73', '74', '46', '75', '38', '58', '71', '4', '13', '27', '82', '63', '33', '5', '70', '72', '85', '76', '92', '7', '1', '3', '56', '89', '49', '35', '86', '98', '26', '64', '52', '60']"
gka_33,huffner,0.1,0.05,0.1,91,"['0', '10', '11', '12', '13', '16', '19', '20', '27', '28', '3', '30', '31', '32', '34', '35', '36', '37', '38', '4', '40', '44', '46', '47', '49', '5', '52', '53', '54', '55', '58', '59', '6', '61', '62', '63', '65', '68', '70', '73', '74', '76', '77', '78', '79', '81', '84', '87', '9', '94', '95', '99', '14', '8', '96', '66', '80', '72', '51', '86', '50', '90', '64', '75', '45', '97', '23', '42', '91', '15', '43', '60', '48', '67', '2', '26', '18', '41', '29', '93', '33', '88', '25', '69', '89', '1', '83', '24', '92', '57', '56']"
gka_34,huffner,0.1,0.05,0.1,93,"['0', '1', '10', '11', '13', '14', '15', '18', '23', '26', '29', '31', '32', '33', '34', '37', '39', '4', '40', '41', '45', '46', '47', '48', '49', '5', '50', '51', '52', '53', '55', '56', '57', '58', '59', '6', '60', '61', '63', '64', '66', '67', '69', '7', '70', '72', '73', '75', '76', '77', '79', '80', '81', '82', '83', '84', '85', '86', '88', '89', '9', '90', '91', '93', '95', '96', '98', '99', '22', '68', '35', '62', '92', '65', '30', '87', '43', '2', '25', '17', '74', '20', '78', '38', '54', '16', '94', '21', '27', '3', '71', '28', '44']"
gka_35,huffner,0.1,0.05,0.1,0,[]
bqp50_1,huffner,0.1,0.05,0.1,11,"['13', '14', '30', '32', '33', '37', '38', '47', '49', '5', '6']"
bqp50_2,huffner,0.1,0.05,0.1,11,"['20', '21', '27', '28', '30', '31', '33', '4', '44', '46', '5']"
bqp50_3,huffner,0.1,0.05,0.1,14,"['0', '10', '22', '26', '31', '39', '40', '41', '42', '43', '5', '8', '9', '14']"
bqp50_4,huffner,0.1,0.05,0.1,11,"['13', '14', '17', '19', '20', '23', '36', '41', '42', '45', '7']"
bqp50_5,huffner,0.1,0.05,0.1,13,"['17', '2', '26', '29', '31', '32', '33', '35', '37', '47', '48', '49', '9']"
bqp50_6,huffner,0.1,0.05,0.1,9,"['11', '16', '20', '21', '23', '37', '6', '8', '9']"
bqp50_7,huffner,0.1,0.05,0.1,9,"['1', '13', '14', '15', '16', '23', '39', '43', '47']"
bqp50_8,huffner,0.1,0.05,0.1,15,"['0', '19', '23', '24', '29', '3', '30', '36', '38', '42', '43', '46', '48', '47', '4']"
bqp50_9,huffner,0.1,0.05,0.1,12,"['10', '14', '15', '17', '20', '23', '27', '29', '34', '37', '40', '41']"
bqp50_10,huffner,0.1,0.05,0.1,11,"['0', '12', '18', '2', '24', '26', '29', '30', '39', '41', '6']"
bqp100_1,huffner,0.1,0.05,0.1,44,"['13', '19', '21', '26', '27', '32', '36', '39', '5', '52', '56', '57', '72', '88', '91', '0', '74', '4', '29', '7', '89', '54', '14', '92', '99', '1', '17', '12', '47', '80', '69', '15', '73', '24', '34', '60', '83', '62', '95', '96', '23', '6', '20', '53']"
bqp100_2,huffner,0.1,0.05,0.1,43,"['11', '13', '2', '21', '3', '40', '48', '51', '56', '59', '66', '69', '72', '75', '85', '22', '26', '71', '74', '96', '31', '34', '14', '47', '68', '41', '87', '27', '76', '12', '99', '94', '16', '98', '28', '93', '73', '45', '29', '7', '54', '20', '23']"
bqp100_3,huffner,0.1,0.05,0.1,45,"['1', '23', '25', '36', '46', '50', '52', '57', '58', '6', '63', '65', '9', '98', '18', '86', '54', '53', '48', '97', '88', '10', '34', '74', '91', '19', '20', '28', '7', '40', '99', '33', '70', '82', '39', '77', '60', '26', '15', '0', '35', '22', '21', '73', '81']"
bqp100_4,huffner,0.1,0.05,0.1,42,"['23', '3', '32', '4', '42', '45', '48', '58', '6', '70', '75', '79', '81', '94', '44', '85', '66', '8', '22', '99', '46', '61', '10', '37', '97', '24', '35', '11', '54', '86', '43', '20', '34', '21', '36', '14', '68', '73', '64', '92', '30', '69']"
bqp100_5,huffner,0.1,0.05,0.1,44,"['0', '19', '27', '29', '3', '33', '34', '38', '45', '5', '55', '63', '77', '8', '87', '9', '20', '91', '12', '25', '18', '90', '51', '26', '6', '61', '78', '73', '40', '41', '14', '42', '96', '69', '36', '76', '99', '80', '43', '56', '15', '62', '84', '88']"
bqp100_6,huffner,0.1,0.05,0.1,45,"['0', '18', '2', '30', '48', '50', '53', '55', '66', '68', '8', '83', '9', '97', '73', '4', '13', '72', '63', '14', '34', '82', '76', '64', '15', '96', '56', '59', '1', '33', '45', '17', '93', '52', '10', '67', '98', '99', '25', '44', '90', '94', '47', '46', '43']"
bqp100_7,huffner,0.1,0.05,0.1,45,"['1', '12', '13', '18', '2', '20', '22', '23', '38', '57', '66', '86', '9', '93', '96', '44', '94', '28', '4', '95', '51', '21', '60', '79', '75', '78', '65', '8', '70', '84', '17', '5', '80', '37', '16', '41', '52', '99', '90', '29', '72', '15', '81', '34', '69']"
bqp100_8,huffner,0.1,0.05,0.1,45,"['13', '14', '17', '25', '54', '56', '61', '70', '71', '76', '80', '83', '93', '99', '72', '48', '77', '68', '90', '27', '9', '18', '5', '15', '65', '40', '41', '95', '75', '6', '36', '92', '22', '79', '39', '11', '29', '58', '33', '50', '81', '34', '94', '74', '21']"
bqp100_9,huffner,0.1,0.05,0.1,45,"['14', '18', '20', '24', '33', '43', '53', '54', '57', '69', '73', '81', '83', '87', '95', '99', '34', '60', '32', '5', '68', '45', '48', '13', '10', '19', '61', '62', '64', '7', '30', '12', '35', '75', '93', '4', '6', '98', '15', '96', '11', '47', '17', '74', '39']"
bqp100_10,huffner,0.1,0.05,0.1,46,"['28', '32', '4', '42', '50', '51', '57', '63', '74', '75', '79', '80', '81', '84', '92', '88', '5', '54', '93', '35', '34', '62', '33', '73', '6', '99', '90', '71', '11', '72', '24', '45', '36', '8', '18', '13', '40', '46', '87', '23', '76', '96', '65', '38', '0', '10']"
aa10,huffner,1,0.1,0.1,6,"['0', '1', '14', '17', '19', '24']"
aa11,huffner,1,0.1,0.1,11,"['1', '11', '14', '15', '17', '21', '24', '27', '29', '6', '7']"
aa13,huffner,1,0.1,0.1,12,"['15', '20', '22', '24', '26', '28', '30', '35', '36', '4', '41', '42']"
aa14,huffner,1,0.1,1,19,"['10', '13', '14', '15', '16', '22', '26', '27', '29', '33', '35', '36', '38', '41', '5', '6', '7', '8', '39']"
aa15,huffner,1,0.1,0.1,6,"['10', '28', '3', '4', '8', '9']"
aa16,huffner,1,0.1,0.1,0,[]
aa17,huffner,1,0.1,1,27,"['11', '12', '16', '17', '18', '21', '23', '24', '29', '30', '31', '32', '33', '35', '38', '42', '48', '5', '6', '7', '8', '9', '20', '39', '4', '36', '15']"
aa18,huffner,1,0.1,0.1,14,"['1', '14', '2', '21', '24', '29', '32', '33', '35', '41', '44', '45', '46', '8']"
aa19,huffner,1,0.1,1,19,"['10', '20', '21', '22', '24', '25', '27', '35', '36', '37', '38', '4', '47', '49', '5', '56', '60', '9', '32']"
aa20,huffner,1,0.1,0.2,19,"['14', '16', '25', '26', '28', '30', '36', '39', '41', '43', '44', '45', '47', '5', '50', '52', '53', '55', '9']"
aa21,huffner,1,0.1,0.1,0,[]
aa22,huffner,1,0.1,0.1,16,"['0', '1', '11', '14', '2', '21', '22', '23', '27', '28', '31', '32', '36', '41', '46', '7']"
aa23,huffner,1,0.1,0.1,18,"['10', '11', '13', '16', '21', '23', '29', '31', '33', '38', '40', '41', '42', '44', '5', '51', '6', '9']"
aa24,huffner,1,0.1,1,28,"['12', '13', '2', '20', '21', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '49', '55', '61', '69', '76', '77', '72', '16', '68', '63', '67', '59', '73']"
aa25,huffner,1,0.1,0.1,0,[]
aa26,huffner,1,0.1,0.1,12,"['1', '19', '21', '22', '25', '29', '30', '31', '33', '35', '38', '5']"
aa27,huffner,1,0.1,0.1,11,"['0', '1', '20', '23', '27', '30', '31', '40', '43', '44', '9']"
aa28,huffner,1,0.1,0.2,27,"['1', '11', '13', '14', '15', '17', '18', '2', '24', '25', '28', '30', '31', '32', '36', '37', '40', '45', '46', '51', '54', '56', '58', '59', '60', '64', '9']"
aa29,huffner,1,0.1,0.2,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '58', '6', '66', '68', '7']"
aa30,huffner,1,0.1,0.1,4,"['11', '2', '4', '7']"
aa31,huffner,1,0.1,0.1,0,[]
aa32,huffner,1,0.1,1,32,"['11', '16', '19', '2', '21', '23', '24', '27', '29', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '65', '9', '14', '37', '50', '10', '53']"
aa33,huffner,1,0.1,0.1,4,"['24', '32', '33', '35']"
aa34,huffner,1,0.1,0.1,13,"['11', '13', '14', '16', '19', '20', '21', '28', '3', '31', '35', '36', '5']"
aa35,huffner,1,0.1,0.1,10,"['0', '13', '14', '20', '21', '24', '3', '30', '32', '37']"
aa36,huffner,1,0.1,0.1,7,"['10', '17', '18', '29', '31', '32', '8']"
aa37,huffner,1,0.1,0.1,4,"['1', '20', '4', '5']"
aa38,huffner,1,0.1,0.5,26,"['0', '16', '18', '21', '22', '25', '26', '29', '35', '38', '39', '41', '42', '47', '48', '49', '5', '50', '52', '56', '6', '60', '62', '63', '65', '7']"
aa39,huffner,1,0.1,1,25,"['10', '13', '18', '20', '22', '23', '27', '28', '29', '3', '30', '31', '35', '40', '41', '48', '5', '56', '6', '7', '9', '57', '34', '36', '55']"
aa40,huffner,1,0.1,0.6,22,"['12', '17', '18', '27', '28', '32', '33', '37', '40', '41', '44', '45', '46', '47', '48', '50', '52', '53', '55', '56', '58', '8']"
aa41,huffner,1,0.1,1,44,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '62', '63', '66', '68', '7', '71', '72', '76', '8', '86', '87', '88', '83', '39', '81', '54', '17', '35', '61', '41', '42']"
aa42,huffner,1,0.1,1,32,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85', '54', '87']"
aa43,huffner,1,0.1,0.1,19,"['10', '16', '21', '26', '27', '28', '29', '30', '31', '32', '34', '36', '38', '39', '4', '41', '5', '6', '8']"
aa44,huffner,1,0.1,0.1,10,"['0', '16', '22', '23', '25', '26', '27', '29', '30', '4']"
aa45,huffner,1,0.1,0.2,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa46,huffner,1,0.1,0.1,13,"['0', '1', '13', '14', '16', '19', '20', '22', '26', '3', '45', '54', '56']"
aa47,huffner,1,0.1,0.1,13,"['16', '17', '18', '2', '20', '25', '28', '29', '30', '32', '33', '5', '6']"
aa48,huffner,1,0.1,0.1,17,"['0', '15', '17', '18', '19', '21', '23', '27', '3', '33', '34', '35', '37', '38', '40', '5', '6']"
aa49,huffner,1,0.1,0.1,0,[]
aa50,huffner,1,0.1,0.1,18,"['11', '18', '22', '23', '24', '29', '31', '33', '35', '39', '49', '5', '52', '53', '58', '59', '7', '8']"
aa51,huffner,1,0.1,0.1,11,"['11', '17', '24', '3', '35', '41', '42', '43', '6', '7', '9']"
aa52,huffner,1,0.1,0.1,12,"['0', '1', '11', '12', '17', '18', '21', '24', '25', '29', '3', '30']"
aa53,huffner,1,0.1,0.1,12,"['16', '24', '26', '27', '3', '31', '33', '34', '36', '38', '40', '42']"
aa54,huffner,1,0.1,0.1,12,"['12', '15', '16', '18', '19', '20', '26', '29', '31', '35', '40', '42']"
j10,huffner,1,0.1,0.1,3,"['0', '5', '8']"
j11,huffner,1,0.1,0.1,5,"['17', '18', '19', '24', '25']"
j13,huffner,1,0.1,0.1,4,"['17', '24', '29', '5']"
j14,huffner,1,0.1,0.1,3,"['1', '14', '15']"
j15,huffner,1,0.1,0.1,0,[]
j16,huffner,1,0.1,0.1,0,[]
j17,huffner,1,0.1,0.1,10,"['11', '15', '2', '21', '23', '25', '27', '6', '8', '9']"
j18,huffner,1,0.1,0.1,10,"['10', '11', '12', '2', '29', '45', '47', '6', '7', '9']"
j19,huffner,1,0.1,0.1,3,"['10', '11', '14']"
j20,huffner,1,0.1,0.1,0,[]
j21,huffner,1,0.1,0.1,2,"['4', '7']"
j22,huffner,1,0.1,0.1,9,"['31', '35', '37', '38', '39', '40', '41', '43', '44']"
j23,huffner,1,0.1,0.2,19,"['1', '14', '15', '2', '20', '21', '26', '3', '30', '31', '33', '38', '39', '41', '42', '49', '5', '8', '9']"
j24,huffner,1,0.1,0.1,3,"['20', '35', '40']"
j25,huffner,1,0.1,0.1,0,[]
j26,huffner,1,0.1,0.1,6,"['21', '24', '27', '3', '4', '5']"
j28,huffner,1,0.1,0.1,13,"['10', '12', '38', '39', '40', '41', '42', '43', '44', '5', '52', '8', '9']"
gka_1,huffner,1,0.1,0.1,9,"['15', '22', '23', '3', '38', '4', '43', '7', '9']"
gka_2,huffner,1,0.1,1,16,"['15', '19', '2', '22', '27', '3', '30', '31', '33', '35', '36', '38', '44', '51', '56', '9']"
gka_3,huffner,1,0.1,1,23,"['19', '22', '24', '29', '35', '38', '45', '46', '47', '52', '56', '57', '59', '60', '61', '67', '54', '43', '1', '16', '7', '18', '51']"
gka_4,huffner,1,0.1,1,30,"['10', '15', '17', '2', '22', '24', '40', '43', '50', '57', '62', '65', '67', '68', '69', '76', '9', '53', '49', '71', '28', '37', '70', '19', '61', '72', '36', '46', '30', '5']"
gka_5,huffner,1,0.1,1,22,"['1', '11', '14', '17', '18', '21', '23', '25', '26', '33', '34', '38', '39', '40', '43', '46', '47', '48', '49', '5', '15', '9']"
gka_6,huffner,1,0.1,0.1,16,"['0', '15', '16', '17', '18', '19', '2', '22', '23', '24', '25', '28', '4', '5', '6', '9']"
gka_7,huffner,1,0.1,0.1,18,"['0', '1', '11', '12', '13', '14', '15', '2', '21', '23', '24', '27', '28', '29', '5', '6', '8', '9']"
gka_8,huffner,1,0.1,1,32,"['12', '13', '15', '20', '25', '26', '31', '41', '55', '60', '79', '86', '9', '92', '93', '94', '95', '4', '98', '59', '81', '53', '51', '63', '23', '90', '36', '85', '89', '18', '3', '75']"
gka_9,huffner,1,0.1,0.1,2,"['4', '5']"
gka_10,huffner,1,0.1,0.1,8,"['0', '10', '11', '3', '4', '6', '8', '9']"
gka_11,huffner,1,0.1,0.1,10,"['0', '1', '10', '12', '2', '4', '5', '6', '7', '8']"
gka_12,huffner,1,0.1,0.1,20,"['0', '1', '10', '11', '12', '13', '14', '16', '17', '18', '19', '20', '21', '22', '23', '3', '4', '5', '6', '7']"
gka_13,huffner,1,0.1,0.1,16,"['0', '1', '10', '11', '12', '14', '16', '17', '18', '2', '3', '4', '5', '6', '8', '9']"
gka_14,huffner,1,0.1,0.1,22,"['0', '1', '10', '11', '12', '13', '15', '16', '17', '18', '2', '21', '22', '23', '24', '25', '4', '5', '6', '7', '8', '9']"
gka_15,huffner,1,0.1,0.1,0,[]
gka_16,huffner,1,0.1,0.1,0,[]
gka_17,huffner,1,0.1,0.1,0,[]
gka_18,huffner,1,0.1,0.1,2,"['0', '6']"
gka_19,huffner,1,0.1,0.1,31,"['0', '1', '12', '13', '14', '15', '17', '18', '2', '21', '22', '24', '25', '26', '27', '28', '29', '3', '30', '32', '33', '34', '35', '36', '38', '4', '5', '6', '7', '8', '9']"
